company,job,place,exp,salary,combined
Delaplex,Artificial Intelligence (AI) Associate,Nagpur,0 year(s),"₹ 2,00,000 - 3,00,000",artificial intelligence (ai) associate delaplex nagpur
Asha K,Senior Business Development Executive,Bangalore,0 year(s),"₹ 2,00,000 - 3,00,000",senior business development executive asha k bangalore
Travel Aid,Junior Travel & Tourism Associate,Kolkata,0 year(s),"₹ 2,00,000",junior travel & tourism associate travel aid kolkata
"CATKing Educare                        
Actively hiring",Software Developer,Mumbai,2 year(s),"₹ 6,00,000 - 8,00,000","software developer catking educare                        
actively hiring mumbai"
Mount Litera Zee School,Teacher,Khagaria,0 year(s),"₹ 2,00,000 - 4,00,000",teacher mount litera zee school khagaria
Roshni  Gautam,Digital Marketing Executive,Noida,1 year(s),"₹ 2,00,000 - 2,18,000",digital marketing executive roshni  gautam noida
Gautam Modi Group,Telecaller,Mumbai,0 year(s),"₹ 2,00,000 - 2,16,000",telecaller gautam modi group mumbai
"Cosmos Staffing Solutions                        
Actively hiring",Business Development Executive,Mumbai,0 year(s),"₹ 4,00,000 - 5,00,000","business development executive cosmos staffing solutions                        
actively hiring mumbai"
Octagate Technologies Private Limited,Data Entry Executive,Work from home,0 year(s),"₹ 2,50,000 - 3,50,000",data entry executive octagate technologies private limited work from home
TelesourceNow,Telecaller,Work from home,1 year(s),"₹ 2,00,000 - 3,00,000",telecaller telesourcenow work from home
"U&I                        
Actively hiring",Volunteer Associate Manager (Corporate Partnerships),Work from home,0 year(s),"₹ 2,97,000 - 4,00,000","volunteer associate manager (corporate partnerships) u&i                        
actively hiring work from home"
"NovaFlux Inc (Monterey, United States)                        
Actively hiring",Human Resources (HR) Specialist,Work from home,0 year(s),"₹ 5,00,000 - 7,00,000","human resources (hr) specialist novaflux inc (monterey, united states)                        
actively hiring work from home"
"Water Town Swim School                        
Actively hiring",Underwater Videographer,"Delhi, Gurgaon, Noida",4 year(s),"₹ 5,00,000","underwater videographer water town swim school                        
actively hiring delhi, gurgaon, noida"
Shafsky Aviation Services Pvt. Ltd.,Guest Relationship Officer,Delhi,1 year(s),"₹ 2,00,000 - 2,10,000",guest relationship officer shafsky aviation services pvt. ltd. delhi
"Water Town Swim School                        
Actively hiring",Big Data Manager,Work from home,4 year(s),"₹ 9,00,000","big data manager water town swim school                        
actively hiring work from home"
"Water Town Swim School                        
Actively hiring",Sales And Deck Ambassador (Admissions),Delhi                                                    (Hybrid),2 year(s),"₹ 5,00,000","sales and deck ambassador (admissions) water town swim school                        
actively hiring delhi                                                    (hybrid)"
"Systemic Altruism                        
Actively hiring",Software Development Engineer (Frontend),Work from home,0 year(s),"₹ 6,00,000 - 8,00,000","software development engineer (frontend) systemic altruism                        
actively hiring work from home"
"Systemic Altruism                        
Actively hiring",3D Designer,Work from home,0 year(s),"₹ 6,00,000 - 8,00,000","3d designer systemic altruism                        
actively hiring work from home"
"Systemic Altruism                        
Actively hiring",3D Web Designer,Work from home,0 year(s),"₹ 6,00,000 - 8,00,000","3d web designer systemic altruism                        
actively hiring work from home"
"Systemic Altruism                        
Actively hiring",AI Video Editor,Work from home,0 year(s),"₹ 6,00,000 - 8,00,000","ai video editor systemic altruism                        
actively hiring work from home"
SolutionsHUB360 Limited,Digital Marketing Specialist,Work from home,2 year(s),"₹ 5,00,000 - 6,00,000",digital marketing specialist solutionshub360 limited work from home
"Quest Labs                        
Actively hiring",Business Development Executive,Work from home,1 year(s),"₹ 3,00,000 - 3,60,000","business development executive quest labs                        
actively hiring work from home"
"Systemic Altruism                        
Actively hiring",AI Video Creator,Work from home,0 year(s),"₹ 6,00,000 - 8,00,000","ai video creator systemic altruism                        
actively hiring work from home"
"Systemic Altruism                        
Actively hiring",Electrical Engineer- Robotics,Work from home,0 year(s),"₹ 9,00,000 - 12,00,000","electrical engineer- robotics systemic altruism                        
actively hiring work from home"
"Systemic Altruism                        
Actively hiring",Mechanical Engineer- Robotics,Work from home,0 year(s),"₹ 9,00,000 - 12,00,000","mechanical engineer- robotics systemic altruism                        
actively hiring work from home"
"Systemic Altruism                        
Actively hiring",Robotics Enthusiasts,Work from home,0 year(s),"₹ 9,00,000 - 12,00,000","robotics enthusiasts systemic altruism                        
actively hiring work from home"
"Systemic Altruism                        
Actively hiring",Robotics Engineer,Work from home,0 year(s),"₹ 9,00,000 - 12,00,000","robotics engineer systemic altruism                        
actively hiring work from home"
"Better                        
Actively hiring",Senior Content Creator,Work from home,3 year(s),"₹ 6,00,000 - 8,00,000","senior content creator better                        
actively hiring work from home"
CRM Academy Of Asia,Corporate Sales Associate,"Faridabad, Manesar",3 year(s),"₹ 5,00,000 - 7,00,000","corporate sales associate crm academy of asia faridabad, manesar"
"RegisterKaro                        
Actively hiring",Finance Operation Associate,Gurgaon,0 year(s),"₹ 2,60,000 - 2,64,000","finance operation associate registerkaro                        
actively hiring gurgaon"
"Infiny Technologies                        
Actively hiring",Back End Executive,Work from home,0 year(s),"₹ 5,00,000 - 8,00,000","back end executive infiny technologies                        
actively hiring work from home"
Headway.ai,Business Development Executive,Work from home,1 year(s),"₹ 3,00,000 - 6,00,000",business development executive headway.ai work from home
MozWebMedia Private Limited,Business Development Executive,Noida,0 year(s),"₹ 2,00,000",business development executive mozwebmedia private limited noida
Indo Scots Global School - Navi Mumbai,Receptionist/Front Office Executive,Navi Mumbai,0 year(s),"₹ 2,00,000 - 2,16,000",receptionist/front office executive indo scots global school - navi mumbai navi mumbai
Bukalo India Private Limited,Quality Executive-Food Analyst,"Gurgaon, Manesar",1 year(s),"₹ 2,40,000 - 3,00,000","quality executive-food analyst bukalo india private limited gurgaon, manesar"
Toppers Clan,Teacher,Work from home,0 year(s),"₹ 2,00,000 - 2,10,000",teacher toppers clan work from home
LetsDressUp,Social Media Manager,"Delhi, Gurgaon, Noida",0 year(s),"₹ 2,50,000 - 4,00,000","social media manager letsdressup delhi, gurgaon, noida"
Cloudnine Hospital,HR Compliance,"Bangalore, Delhi",0 year(s),"₹ 2,00,000 - 2,40,000","hr compliance cloudnine hospital bangalore, delhi"
Efeedor,Business Development Executive,Chennai                                                    (Hybrid),0 year(s),"₹ 2,04,000",business development executive efeedor chennai                                                    (hybrid)
Balaji Global Marketing Private Limited,Telecaller,"Thane, Navi Mumbai, Dombivli, Kalyan, Mumbai",0 year(s),"₹ 2,00,000 - 2,50,000","telecaller balaji global marketing private limited thane, navi mumbai, dombivli, kalyan, mumbai"
H M,Social Media Executive,Kolkata,1 year(s),"₹ 2,00,000 - 2,20,000",social media executive h m kolkata
Obitel Prime Realtors LLP,Human Resource & Office Admin,Pune,0 year(s),"₹ 2,00,000 - 2,16,000",human resource & office admin obitel prime realtors llp pune
Edutitan Venture Private Limited,HR - Early Talent Acquisition,Work from home,0 year(s),"₹ 2,00,000 - 2,20,000",hr - early talent acquisition edutitan venture private limited work from home
Walbayzon LLP,Content & E-commerce Management Specialist,Bhopal,1 year(s),"₹ 2,00,000 - 2,50,000",content & e-commerce management specialist walbayzon llp bhopal
Eksure Insurance Broking Private Limited,Operations Executive,Mumbai,1 year(s),"₹ 3,00,000",operations executive eksure insurance broking private limited mumbai
Nusrat  Khan,Guest Relations Executive,"Mumbai, Ambernath, Thane, Thane West",0 year(s),"₹ 30,00,000 - 40,00,000","guest relations executive nusrat  khan mumbai, ambernath, thane, thane west"
"Systemic Altruism                        
Actively hiring",Associate Full Stack Developer,Work from home,0 year(s),"₹ 6,00,000 - 8,00,000","associate full stack developer systemic altruism                        
actively hiring work from home"
Ascent Risk Management Private Limited,Business Development Associate,Thane,0 year(s),"₹ 2,00,000",business development associate ascent risk management private limited thane
CIVILS WEB PRIVATE LIMITED,Corporate Sales Specialist,Noida,0 year(s),"₹ 3,60,000 - 4,80,000",corporate sales specialist civils web private limited noida
Fleek Media,Senior Copywriter,Ahmedabad,3 year(s),"₹ 5,00,000 - 8,40,000",senior copywriter fleek media ahmedabad
Picktime,Chat Support Executive,Madhapur,0 year(s),"₹ 2,00,000 - 2,40,000",chat support executive picktime madhapur
Neeraj Gupta,Junior Finance Associate,Jaipur,0 year(s),"₹ 2,00,000 - 2,20,000",junior finance associate neeraj gupta jaipur
Dotcore Solution,Game Developer,Jaipur,1 year(s),"₹ 3,00,000 - 9,00,000",game developer dotcore solution jaipur
"Obitel Prime Realtors LLP                        
Actively hiring",Human Resource & Office Admin,Pune,0 year(s),"₹ 2,00,000 - 2,16,000","human resource & office admin obitel prime realtors llp                        
actively hiring pune"
TractorGyan (Rapsa Technolpogies Private Limited),CAD Designer,Indore,1 year(s),"₹ 2,00,000 - 2,10,000",cad designer tractorgyan (rapsa technolpogies private limited) indore
NaviGrit Private Limited,Business Development Associate,Work from home,1 year(s),"₹ 4,00,000 - 5,00,000",business development associate navigrit private limited work from home
